-1-
北京市小客车指标调控管理信息系统
单位新能源指标配置
期号：201601
描述：2016年第01期单位示范应用新能源小客车指标配置结果
指标配置日期：2016-02-26
实际指标配置时间：2016-02-26 10:21:35
有效编码总数：1819
指标配置总数：1819
-指标配置列表-
轮候序号 轮候时间 申请编码
495 2016-01-07 14:36:20.111 7556105333841
496 2016-01-07 14:36:20.111 4570105333842
497 2016-01-07 14:44:34.967 8841105333971
498 2016-01-07 14:45:15.313 7095105333983
499 2016-01-07 14:45:15.313 4129105333984
500 2016-01-07 14:45:15.313 4849105333985
501 2016-01-07 14:45:15.313 0647105333986
502 2016-01-07 15:07:25.402 7879105334230
503 2016-01-07 15:07:25.402 5319105334231
504 2016-01-07 15:07:25.402 1662105334232
505 2016-01-07 15:07:25.402 1895105334233
506 2016-01-07 15:18:51.900 8704105334327
507 2016-01-07 15:53:18.100 9439105334662
508 2016-01-07 15:54:11.598 5685105334696
509 2016-01-07 16:07:46.253 2734105334818
510 2016-01-07 16:28:52.731 8755105334990
511 2016-01-07 16:29:39.978 9820105335323
512 2016-01-07 16:36:46.350 6566105335087
513 2016-01-07 16:36:46.350 7969105335088
514 2016-01-07 16:36:46.350 5773105335089
515 2016-01-07 16:36:46.350 4219105335090
516 2016-01-07 16:36:46.350 6531105335091
-15-
517 2016-01-07 16:39:57.756 2880105335120
518 2016-01-07 16:44:25.900 6463105335188
519 2016-01-07 16:46:54.628 0838105335291
520 2016-01-07 16:53:52.217 9320105335252
521 2016-01-07 16:58:38.289 6748105335293
522 2016-01-07 17:01:32.319 8159105335355
523 2016-01-07 17:01:32.319 0364105335825
524 2016-01-07 17:01:32.319 6088105335826
525 2016-01-07 17:01:32.319 1543105335827
526 2016-01-07 17:01:32.319 4731105335828
527 2016-01-07 17:11:34.830 1022105335448
528 2016-01-07 17:18:55.583 0499105335536
529 2016-01-07 17:19:10.962 9749105335508
530 2016-01-07 17:21:08.464 4355105336123
531 2016-01-07 17:36:19.296 9016105335693
532 2016-01-07 17:36:19.296 7128105335694
533 2016-01-07 17:37:47.939 1472105335675
534 2016-01-07 18:22:16.604 1718105335929
535 2016-01-07 18:22:16.604 6085105335930
536 2016-01-07 18:55:37.521 0769105336068
537 2016-01-07 19:09:33.111 9734105336107
538 2016-01-07 19:37:25.209 9222105336258
539 2016-01-07 19:48:29.494 0493105336306
540 2016-01-07 20:37:18.548 9830105336541
541 2016-01-07 21:00:46.154 5659105336643
542 2016-01-07 21:29:57.197 3060105336819
543 2016-01-07 22:02:05.342 1236105337030
544 2016-01-07 22:35:36.981 6154105337167
545 2016-01-08 07:32:00.372 6633105337367
546 2016-01-08 08:35:47.537 5704105337496
547 2016-01-08 08:49:45.367 7052105337605
548 2016-01-08 09:02:37.427 4268105337703
549 2016-01-08 09:05:37.418 0963105337718
550 2016-01-08 09:11:13.159 8916105337794
551 2016-01-08 09:13:53.662 1861105337834
552 2016-01-08 09:24:18.569 4101105337955
553 2016-01-08 09:24:18.569 7662105337956
554 2016-01-08 09:24:18.569 5702105337957
-16-
555 2016-01-08 09:24:18.569 0538105337958
556 2016-01-08 09:24:18.569 8150105337959
557 2016-01-08 09:24:54.263 7011105337975
558 2016-01-08 09:26:31.546 0389105338008
559 2016-01-08 09:27:58.686 5008105364536
560 2016-01-08 09:27:58.686 4827105364537
561 2016-01-08 09:27:58.686 8425105401407
562 2016-01-08 09:27:58.686 4402105413733
563 2016-01-08 09:27:58.686 4475105413734
564 2016-01-08 09:28:57.904 5555105338038
565 2016-01-08 09:32:43.841 5452105354798
566 2016-01-08 09:40:08.385 2607105338148
567 2016-01-08 09:43:28.560 8325105338194
